stationName,Province,Climate.ID,Station.ID,WMO.ID,TC.ID,Latitude..Decimal.Degrees.,Longitude..Decimal.Degrees.,Latitude,Longitude,Elevation..m.,First.Year,Last.Year,HLY.First.Year,HLY.Last.Year,DLY.First.Year,DLY.Last.Year,MLY.First.Year,MLY.Last.Year
HIGH LEVEL A,ALBERTA,3073146,2726,NA,YOJ,58.62,-117.16,583717000,-1170953000,338.02,1970,2022,1980,2020,1970,2022,1970,2007
JEAN COTE AGCM,ALBERTA,3073535,47077,71541,PJT,55.91,-117.12,555446006,-1170711006,638,2008,2023,2008,2020,2008,2023,NA,NA
KEG RIVER AGCM,ALBERTA,3073644,51840,NA,PKG,57.79,-117.68,574715001,-1174036000,408,2013,2023,2013,2020,2018,2023,NA,NA
LA CRETE AGCM,ALBERTA,3073730,47147,71542,PLC,58.17,-116.34,581019008,-1162034002,323,2008,2023,2008,2020,2008,2023,NA,NA
LA GLACE AGCM,ALBERTA,3073740,47087,71543,PLG,55.42,-119.25,552519001,-1191517002,760,2008,2023,2008,2020,2008,2023,NA,NA
MANNING AGDM,ALBERTA,3074190,32394,71229,XMG,56.97,-117.45,565826000,-1172703002,457,2002,2023,2002,2020,2002,2023,2002,2007
CLEARDALE AGDM,ALBERTA,3074935,32255,71221,XCD,56.31,-119.75,561852009,-1194442000,630,1990,2023,1990,2020,2003,2023,2003,2007
PEACE RIVER A,ALBERTA,3075040,2770,71068,YPE,56.23,-117.45,561337000,-1172650000,570.9,1944,2014,1980,2014,1944,2014,1944,2007
PEACE RIVER A,ALBERTA,3075041,52258,71068,YPE,56.23,-117.45,561338000,-1172654000,570.9,2014,2023,2014,2020,2014,2023,NA,NA
PEORIA AGDM,ALBERTA,3075160,31468,71348,XPA,55.62,-118.29,553716005,-1181735001,621.21,1994,2023,1994,2020,2002,2023,2002,2007
RED EARTH,ALBERTA,3075488,10183,71246,WRD,56.55,-115.28,563307070,-1151640040,546,1994,2023,1994,2020,1994,2023,1996,2007
ROCKY LANE AGCM,ALBERTA,3075550,51841,NA,PKY,58.45,-116.48,582706057,-1162850015,301,2013,2023,2013,2020,2018,2023,NA,NA
RYCROFT AGCM,ALBERTA,3075601,47090,71546,PRF,55.78,-118.67,554636005,-1184005003,575,2008,2023,2008,2020,2008,2023,NA,NA
SAVANNA AGCM,ALBERTA,3075770,47107,71547,PSW,56.08,-119.34,560434002,-1192041008,703,2008,2023,2008,2020,2008,2023,NA,NA
SOUSA CREEK (AUT),ALBERTA,3076056,10733,NA,WSH,58.59,-118.49,583529000,-1182935000,373.3,1994,2002,1994,2002,1994,2002,1996,2001
SPIRIT RIVER AUTO STATION,ALBERTA,3076069,29633,71571,XSR,55.69,-119.23,554141008,-1191349004,1015.28,1999,2018,1999,2018,1999,2018,1999,2007
SWEETGRASS LANDING,ALBERTA,3076330,52478,NA,PSQ,58.85,-112,585110400,-1115949200,212,2014,2023,2014,2020,2018,2023,NA,NA
TEEPEE CREEK AGCM,ALBERTA,3076366,47109,71690,PTC,55.35,-118.41,552108007,-1182427004,670,2008,2023,2008,2020,2008,2023,NA,NA
TOMPKINS LANDING AGCM,ALBERTA,3076530,51858,NA,NTL,58.02,-116.85,580114082,-1165052068,343,2013,2023,2013,2020,2018,2023,NA,NA
VALLEYVIEW AGDM,ALBERTA,3076680,32460,71277,XVW,55.1,-117.2,550553000,-1171157000,698,1998,2023,1998,2020,2002,2023,2002,2007
FORT CHIPEWYAN,ALBERTA,307KFNF,10655,NA,,58.77,-111.12,584600000,-1110700000,231.6,1989,1993,1989,1993,NA,NA,NA,NA
GARDEN RIVER,ALBERTA,307KPFP,10932,71253,WGF,58.71,-113.87,584239000,-1135159300,240.8,1993,2023,1993,2020,1993,2023,1996,2007
COLD LAKE A,ALBERTA,3081680,2832,71120,YOD,54.42,-110.28,542500000,-1101700000,541,1952,2023,1980,2020,1952,2023,1953,2017
DUPRE AGCM,ALBERTA,3081690,47070,71414,PDU,54.37,-110.87,542201004,-1105204003,556,2008,2023,2008,2020,2008,2023,NA,NA
BRATT'S LAKE CLIMATE,SASKATCHEWAN,4010811,44543,71569,XBK,50.2,-104.71,501202001,-1044236000,580,2005,2023,2005,2020,2005,2023,2006,2007
BROADVIEW,SASKATCHEWAN,4010879,2855,71861,WIK,50.37,-102.57,502205000,-1023415000,599.8,1965,2023,1980,2020,1965,2023,1965,2007
ESTEVAN A,SASKATCHEWAN,4012400,2896,NA,,49.22,-102.97,491300000,-1025800000,580.3,1944,2015,1980,2015,1944,2015,1944,2015
ESTEVAN A,SASKATCHEWAN,4012401,53520,NA,YEN,49.21,-102.97,491237000,-1025757000,580.3,2015,2018,2015,2018,2015,2018,NA,NA
ESTEVAN A,SASKATCHEWAN,4012403,54261,71862,YEN,49.21,-102.97,491237000,-1025757000,580.3,2015,2023,2015,2020,2018,2023,NA,NA
ESTEVAN,SASKATCHEWAN,4012410,49728,71559,PJM,49.22,-102.97,491300000,-1025800000,580.6,2011,2023,2011,2020,2011,2023,NA,NA
INDIAN HEAD CDA,SASKATCHEWAN,4013480,2925,71515,WBD,50.55,-103.65,503300000,-1033900000,579.1,1885,2023,1980,2020,1885,2023,1885,2007
LAST MOUNTAIN CS,SASKATCHEWAN,4014156,2942,71556,WXG,51.42,-105.25,512500000,-1051500000,497,1975,2023,1980,2020,1975,2023,1975,2007
MOOSE JAW A,SASKATCHEWAN,4015320,2967,71864,YMJ,50.33,-105.57,502000000,-1053400000,576.7,1943,2023,1980,2020,1943,1999,1943,1998
MOOSE JAW CS,SASKATCHEWAN,4015322,27476,71539,ZMJ,50.33,-105.54,501954050,-1053215030,577,1997,2023,1997,2020,1998,2023,1998,2007
REGINA INT'L A,SASKATCHEWAN,4016560,3002,71863,YQR,50.43,-104.67,502600000,-1044000000,577.6,1883,2013,1980,2013,1883,2013,1883,2007
REGINA INTL A,SASKATCHEWAN,4016566,51441,NA,YQR,50.43,-104.67,502556000,-1043958000,577.6,2013,2023,2013,2020,2018,2023,NA,NA
REGINA RCS,SASKATCHEWAN,4016699,28011,71514,WDJ,50.43,-104.67,502600000,-1044000000,577.3,1996,2023,1996,2020,1999,2023,1999,2007
WATROUS EAST,SASKATCHEWAN,4018642,10785,71511,WIW,51.67,-105.4,514000000,-1052400000,525.6,1992,2023,1992,2020,1992,2023,1996,2007
WYNYARD,SASKATCHEWAN,4019035,3058,NA,WYO,51.77,-104.2,514600000,-1041200000,560.8,1939,2005,1980,2005,1939,2005,1939,2005
YELLOW GRASS NORTH,SASKATCHEWAN,4019041,54518,73001,PYS,49.82,-104.18,494900000,-1041100000,578,2016,2023,2016,2020,2016,2023,NA,NA
YORKTON,SASKATCHEWAN,4019073,49808,71886,PRJ,51.26,-102.46,511553000,-1022752000,498.4,2011,2023,2011,2020,2011,2023,NA,NA
YORKTON,SASKATCHEWAN,4019075,48977,71292,YQV,51.26,-102.46,511553000,-1022742000,498.3,2011,2023,2011,2020,2011,2023,NA,NA
YORKTON A,SASKATCHEWAN,4019080,3062,71138,YQV,51.27,-102.47,511600000,-1022800000,498.3,1941,2005,1980,2005,1941,2005,1941,2005
YORKTON AWOS,SASKATCHEWAN,4019083,30366,NA,ZQV,51.27,-102.47,511600000,-1022800000,498.3,2005,2005,2005,2005,NA,NA,NA,NA
YORKTON,SASKATCHEWAN,4019085,44203,71138,YQV,51.26,-102.46,511553000,-1022742000,498.3,2005,2011,2005,2011,2005,2011,2005,2007
WYNYARD (AUT),SASKATCHEWAN,40190LN,10660,71865,WOY,51.77,-104.2,514600000,-1041200000,560.1,1992,2023,1992,2020,1992,2023,1999,2007
REGINA UNIVERSITY,SASKATCHEWAN,401FFDB,2838,NA,,50.42,-104.58,502500000,-1043500000,573,1968,2000,1980,2000,1968,2000,1968,1999
WEYBURN,SASKATCHEWAN,401HP5R,10666,71452,WWF,49.7,-103.8,494200000,-1034800000,588.6,1992,2023,1992,2020,1992,2023,1996,2007
BROADVIEW,SASKATCHEWAN,401I010,26851,NA,WXU,50.38,-102.68,502300000,-1024100000,600.1,1995,2009,1995,2009,1995,2009,1996,2003
ASSINIBOIA AIRPORT,SASKATCHEWAN,4020286,10805,71487,WJI,49.73,-105.95,494345090,-1055646010,725.5,1992,2023,1992,2020,1992,2023,1996,2007
ELBOW CS,SASKATCHEWAN,4022359,3088,71450,WOK,51.13,-106.58,510800000,-1063500000,595,1972,2023,1980,2020,1973,2023,1972,2007
ELBOW,SASKATCHEWAN,4022361,3090,NA,,51.13,-106.58,510800000,-1063500000,594.7,1982,1990,1982,1990,1982,1990,1982,1990
ELBOW RADAR,SASKATCHEWAN,4022L62,9023,NA,,51.13,-106.58,510800000,-1063500000,594.6,1999,2000,1999,2000,NA,NA,NA,NA
LUCKY LAKE,SASKATCHEWAN,4024714,10724,71455,WLE,50.95,-107.15,505700000,-1070900000,664.7,1992,2023,1992,2020,1992,2023,1996,2007
MAPLE CREEK,SASKATCHEWAN,4024919,10667,71453,WMQ,49.9,-109.47,495409050,-1092758060,766.7,1992,2023,1992,2020,1992,2023,1996,2007
SWIFT CURRENT,SASKATCHEWAN,4028038,48976,71142,YYN,50.29,-107.69,501731000,-1074126000,816.9,2011,2023,2011,2020,2011,2023,NA,NA
SWIFT CURRENT A,SASKATCHEWAN,4028040,3155,71870,YYN,50.3,-107.68,501800000,-1074100000,816.86,1938,2011,1980,2011,1938,2011,1938,2007
SWIFT CURRENT (AUT),SASKATCHEWAN,4028042,7479,NA,,50.27,-107.73,501600000,-1074400000,826,1982,1986,1982,1986,NA,NA,NA,NA
SWIFT CURRENT CDA,SASKATCHEWAN,4028060,3157,71446,WVC,50.27,-107.73,501600000,-1074400000,825,1959,2023,1980,2020,1959,2023,1959,2007
LEADER AIRPORT,SASKATCHEWAN,402DAF0,10795,71459,WJX,50.91,-109.5,505434070,-1093005010,675.5,1992,2023,1992,2020,1992,2023,1996,2007
CORONACH SPC,SASKATCHEWAN,40318MN,3172,71516,WAQ,49.05,-105.48,490300000,-1052900000,756,1980,2023,1980,2020,1980,2023,1980,2007
CYPRESS HILLS PARK,SASKATCHEWAN,4031999,10888,71139,WVP,49.64,-109.51,493826009,-1093052004,1270.6,1992,2023,1992,2020,1992,2023,1996,2007
EASTEND CYPRESS (AUT),SASKATCHEWAN,4032322,7485,71131,WEH,49.44,-108.99,492616010,-1085919050,1079.6,1992,2023,1992,2020,1992,2023,1997,2007
MANKOTA,SASKATCHEWAN,4034910,3186,71204,PMK,49.1,-107.02,490557000,-1070128030,830,1962,2023,1980,2020,1962,2023,1962,2007
ROCKGLEN (AUT),SASKATCHEWAN,4036844,3193,71135,WKO,49.17,-105.98,491004040,-1055845060,917,1970,2023,1980,2020,1970,2023,1971,2007
VAL MARIE SOUTHEAST,SASKATCHEWAN,4038412,10821,71137,WVN,49.06,-107.59,490330001,-1073509010,796,1992,2023,1992,2020,1992,2023,1996,2007
KINDERSLEY A,SASKATCHEWAN,4043899,54280,NA,YKY,51.52,-109.18,513055000,-1091050000,693.7,2016,2023,2016,2020,2018,2023,NA,NA
KINDERSLEY A,SASKATCHEWAN,4043900,3231,71129,YKY,51.52,-109.18,513100000,-1091100000,693.72,1984,2013,1984,2013,1984,2013,1984,2013
KINDERSLEY A,SASKATCHEWAN,4043901,51739,71129,YKY,51.52,-109.18,513055000,-1091050000,693.7,2013,2023,2013,2020,2013,2023,NA,NA
KINDERSLEY KY,SASKATCHEWAN,4043920,3233,NA,,51.47,-109.17,512800000,-1091000000,683.4,1958,1984,1980,1984,1958,1984,1958,1984
NORTH BATTLEFORD A,SASKATCHEWAN,4045600,3244,71876,YQW,52.77,-108.26,524619004,-1081520007,548.33,1942,2005,1980,2005,1942,2005,1942,2005
NORTH BATTLEFORD,SASKATCHEWAN,4045605,44084,NA,,52.77,-108.25,524600000,-1081500000,548,2005,2014,2005,2014,2005,2014,2005,2007
NORTH BATTLEFORD RCS,SASKATCHEWAN,4045607,44344,71754,PQW,52.77,-108.26,524619004,-1081520007,548,2005,2023,2005,2020,2005,2023,2006,2007
NORTH BATTLEFORD,SASKATCHEWAN,4045695,48609,71876,YQW,52.77,-108.24,524609000,-1081437000,548.3,2010,2023,2010,2020,2010,2023,NA,NA
ROSETOWN EAST,SASKATCHEWAN,4046884,10784,71510,WRJ,51.57,-107.92,513400000,-1075500000,586,1992,2023,1992,2020,1992,2023,1996,2007
SCOTT CDA,SASKATCHEWAN,4047240,3259,71489,WTS,52.36,-108.83,522135064,-1085005004,659.6,1911,2023,1980,2020,1911,2023,1911,2007
WASECA RCS,SASKATCHEWAN,4048521,51798,71663,PWX,53.13,-109.41,530753008,-1092418006,640,2013,2023,2013,2020,2013,2023,NA,NA
MELFORT,SASKATCHEWAN,4055079,10727,71456,WFF,52.82,-104.6,524900000,-1043600000,490,1992,2023,1992,2020,1992,2023,1996,2007
OUTLOOK PFRA,SASKATCHEWAN,4055736,3318,71551,WYE,51.48,-107.05,512900000,-1070300000,541,1952,2023,1980,2020,1952,2023,1952,2007
PILGER,SASKATCHEWAN,4056121,50977,71655,PUN,52.42,-105.15,522500000,-1050900000,552,2012,2023,2012,2020,2014,2023,NA,NA
PRINCE ALBERT A,SASKATCHEWAN,4056240,3322,71869,YPA,53.22,-105.67,531300000,-1054000000,428.2,1942,2013,1980,2013,1942,2013,1942,2007
PRINCE ALBERT A,SASKATCHEWAN,4056241,51878,71869,YPA,53.21,-105.67,531252000,-1054023000,428.2,2013,2023,2013,2020,2013,2023,NA,NA
PRINCE ALBERT GLASS FIELD,SASKATCHEWAN,4056243,54498,73002,PPR,53.21,-105.68,531237000,-1054036000,425.45,2016,2023,2016,2020,2016,2023,NA,NA
SASKATOON DIEFENBAKER INT'L A,SASKATCHEWAN,4057120,3328,71866,YXE,52.17,-106.72,521000000,-1064300000,504.1,1892,2012,1980,2012,1892,2012,1892,2007
SASKATOON INTL A,SASKATCHEWAN,4057152,50091,NA,YXE,52.17,-106.7,521015000,-1064200000,504.1,2012,2023,2012,2020,2018,2023,NA,NA
SASKATOON KERNEN FARM,SASKATCHEWAN,4057154,6872,NA,WCD,52.15,-106.55,520900000,-1063300000,510,1993,2006,1993,2006,1993,2006,1993,2005
SASKATOON RCS,SASKATCHEWAN,4057165,47707,71496,POX,52.17,-106.72,521025000,-1064308001,504.1,2008,2023,2008,2020,2008,2023,NA,NA
BEARTOOTH ISLAND,SASKATCHEWAN,4060468,10713,NA,WTF,59.22,-109.7,591300000,-1094200000,238,1994,2015,1994,2015,1994,2015,1998,2000
BUFFALO NARROWS A,SASKATCHEWAN,4060982,3357,71077,YVT,55.83,-108.43,555000000,-1082600000,433.73,1979,2012,1980,2012,1979,2012,1979,2007
BUFFALO NARROWS (AUT),SASKATCHEWAN,4060983,7534,71077,WVT,55.84,-108.42,555026008,-1082514009,440.1,1992,2023,1992,2020,1992,2023,1998,2007
BUFFALO NARROWS A,SASKATCHEWAN,4060984,50823,NA,YVT,55.84,-108.42,555031000,-1082503000,433.7,2012,2019,2012,2019,NA,NA,NA,NA
BUFFALO NARROWS A,SASKATCHEWAN,4060988,53020,NA,YVT,55.84,-108.42,555031000,-1082503000,433.7,2014,2023,2014,2020,2018,2023,NA,NA
CLUFF LAKE AUTO,SASKATCHEWAN,4061592,27737,NA,XXX,58.39,-109.52,582328000,-1093059000,338.9,1996,2009,1996,2009,1999,2009,1999,2005
COLLINS BAY SK,SASKATCHEWAN,4061620,53218,71075,WWC,58.23,-103.68,581345000,-1034041000,412.6,2015,2023,2015,2020,2016,2023,NA,NA
COLLINS BAY,SASKATCHEWAN,4061629,10663,NA,,58.19,-103.71,581124000,-1034242000,490.1,1992,2018,1992,2018,1992,2018,1996,2007
COLLINS BAY,SASKATCHEWAN,4061630,3361,NA,WKC,58.18,-103.7,581100000,-1034200000,491.9,1972,1990,1980,1990,1972,1990,1972,1990
CREE LAKE,SASKATCHEWAN,4061861,3364,NA,,57.35,-107.13,572100000,-1070800000,494.6,1969,1996,1980,1996,1969,1996,1970,1993
ISLAND FALLS (AUT),SASKATCHEWAN,4063605,42883,71331,PIF,55.53,-102.35,553200000,-1022100000,297.4,2004,2023,2004,2020,2004,2023,2004,2007
JIMMY LAKE,SASKATCHEWAN,4063621,7563,NA,WHN,54.9,-109.97,545400000,-1095800000,636.2,1994,2004,1994,2004,NA,NA,NA,NA
JIMMY LAKE AWOS,SASKATCHEWAN,4063623,30724,71023,WHN,54.91,-109.96,545430050,-1095743080,637.1,2004,2022,2004,2020,2004,2022,NA,NA
KEY LAKE,SASKATCHEWAN,4063753,49448,71033,PLS,57.25,-105.6,571500000,-1053600000,513.9,2011,2023,2011,2020,2011,2023,NA,NA
KEY LAKE,SASKATCHEWAN,4063757,48872,71499,YKJ,57.26,-105.62,571523000,-1053703000,513.9,2010,2023,2010,2020,2010,2023,NA,NA
KEY LAKE A,SASKATCHEWAN,4063759,10941,NA,,57.25,-105.6,571500000,-1053600000,513.89,1993,2010,1993,2010,1993,2010,2001,2007
LA RONGE RCS,SASKATCHEWAN,4064149,29371,71586,XOX,55.15,-105.27,550847020,-1051613030,378.6,1999,2023,1999,2020,1999,2023,1999,2007
LA RONGE A,SASKATCHEWAN,4064150,3381,71922,YVC,55.15,-105.27,550900000,-1051600000,379.2,1959,2013,1980,2013,1959,2013,1959,2008
LA RONGE A,SASKATCHEWAN,4064155,51425,71922,YVC,55.15,-105.27,550905000,-1051601000,379.2,2013,2023,2013,2020,2013,2023,NA,NA
LOON LAKE RCS,SASKATCHEWAN,4064620,48148,71273,PIL,54.02,-109.14,540111000,-1090818000,545.6,2009,2023,2009,2020,2009,2023,NA,NA
MEADOW LAKE A,SASKATCHEWAN,4065057,52000,71125,YLJ,54.13,-108.05,540731000,-1080301022,480.7,2013,2023,2013,2020,2013,2018,NA,NA
MEADOW LAKE A,SASKATCHEWAN,4065058,3386,71125,YLJ,54.13,-108.52,540800000,-1083100000,480.67,1977,2013,1980,2013,1977,2013,1977,2008
MEADOW LAKE A,SASKATCHEWAN,4065063,53021,NA,YLJ,54.13,-108.52,540731000,-1083122000,480.7,2014,2023,2014,2020,2018,2023,NA,NA
SOUTHEND,SASKATCHEWAN,4067655,10242,71451,WJH,56.33,-103.28,562000000,-1031700000,344.1,1992,2023,1992,2020,1992,2023,1996,2007
SPIRITWOOD WEST,SASKATCHEWAN,4067723,10850,71133,WSR,53.37,-107.55,532200000,-1073300000,584.3,1992,2023,1992,2020,1992,2023,1996,2007
STONY RAPIDS,SASKATCHEWAN,4067799,48548,71132,YSF,59.25,-105.84,591501000,-1055029000,244.15,2010,2023,2010,2020,2010,2023,NA,NA
STONY RAPIDS A,SASKATCHEWAN,4067PR5,3394,71132,YSF,59.25,-105.83,591500000,-1055000000,245.4,1986,2013,1986,2013,1986,2013,1986,2010
URANIUM CITY A,SASKATCHEWAN,4068340,3400,NA,,59.57,-108.48,593400000,-1082900000,318.2,1953,1986,1980,1986,1953,1986,1953,1986
WASKESIU LAKE,SASKATCHEWAN,4068559,10688,71454,WLV,53.92,-106.07,535500000,-1060400000,569.4,1992,2023,1992,2020,1992,2023,1996,2007
MEADOW LAKE,SASKATCHEWAN,406N0NM,10198,71970,WLJ,54.13,-108.52,540800000,-1083100000,481,1994,2023,1994,2020,1996,2023,1996,2007
URANIUM CITY (AUT),SASKATCHEWAN,406QLD0,9831,71076,WDC,59.57,-108.48,593400000,-1082900000,318.2,1992,2023,1992,2020,1992,2023,1998,2007
NIPAWIN A,SASKATCHEWAN,4075518,3420,NA,,53.33,-104,532000000,-1040000000,371.9,1973,2005,1980,2005,1973,2005,1973,2005
NIPAWIN AWOS,SASKATCHEWAN,4075521,27625,NA,ZBU,53.33,-104,531956000,-1040012000,371.9,1998,2003,1998,2003,NA,NA,NA,NA
NIPAWIN,SASKATCHEWAN,4075522,44103,NA,,53.33,-104.02,532000000,-1040100000,371.9,2005,2013,2005,2013,2005,2013,2005,2007
NIPAWIN,SASKATCHEWAN,4075525,48608,71130,YBU,53.33,-104.01,531957000,-1040030000,371.9,2010,2023,2010,2020,2010,2023,NA,NA
NIPAWIN,SASKATCHEWAN,407N51G,10195,71312,WBU,53.33,-104,532000000,-1040000000,371.9,1994,2023,1994,2020,1996,2023,1997,2007
HUDSON BAY A,SASKATCHEWAN,4083321,3439,NA,,52.82,-102.32,524900000,-1021900000,358.1,1978,1999,1980,1999,1978,1993,1978,1993
HUDSON BAY,SASKATCHEWAN,4083322,7550,NA,,52.82,-102.32,524900000,-1021900000,358.1,1992,2007,1992,2007,1992,2007,2001,2007
HUDSON BAY(AUT),SASKATCHEWAN,4083324,46367,71868,ZHB,52.82,-102.32,524900000,-1021900000,358.1,2007,2023,2007,2020,2007,2023,2007,2007
BRANDON A,MANITOBA,5010480,3471,71140,YBR,49.91,-99.95,495436000,-995707000,409.4,1941,2012,1980,2012,1941,2012,1941,2012
BRANDON A,MANITOBA,5010481,50821,71140,YBR,49.91,-99.95,495436000,-995708000,409.3,2012,2023,2012,2020,2012,2023,NA,NA
BRANDON RCS,MANITOBA,5010490,49909,71136,PBO,49.9,-99.95,495400000,-995700000,409.4,2012,2023,2012,2020,2012,2023,NA,NA
CARBERRY CS,MANITOBA,5010547,27741,71170,WZE,49.91,-99.36,495420900,-992126800,383.5,1994,2023,1994,2020,1994,2023,1996,2007
CYPRESS RIVER RCS,MANITOBA,5010641,48128,71239,POY,49.56,-99.07,493344000,-990426000,374,2009,2023,2009,2020,2009,2023,NA,NA
PORTAGE SOUTHPORT A,MANITOBA,5012320,3518,NA,YPG,49.9,-98.27,495400000,-981600000,269.7,1941,2023,1980,2020,1941,1992,1941,1992
PORTAGE SOUTHPORT,MANITOBA,5012324,10884,71851,WPG,49.9,-98.28,495411300,-981702900,272.7,1992,2023,1992,2020,1992,2023,1996,2007
RIVERS A,MANITOBA,5012440,3527,NA,,50.02,-100.32,500100000,-1001900000,473.4,1938,1983,1980,1983,1938,1970,1938,1970
ROBLIN,MANITOBA,5012469,27119,71553,WXB,51.18,-101.36,511100018,-1012146068,539.5,1996,2023,1996,2020,1996,2023,1996,2007
SHOAL LAKE CS,MANITOBA,5012654,10927,71150,WUT,50.45,-100.6,502717600,-1003612600,561.3,1993,2023,1993,2020,1993,2023,1996,2007
SHILO,MANITOBA,5012672,3539,71853,WLO,49.78,-99.64,494658000,-993835000,375.2,1954,1999,1980,1999,1954,1970,1954,1970
WASAGAMING,MANITOBA,5013117,3562,71444,WWP,50.66,-99.94,503918006,-995631008,627.4,1966,2023,1980,2020,1966,2023,1966,2007
MELITA,MANITOBA,501A7AR,10185,71447,WEI,49.28,-100.99,491652600,-1005910900,445.9,1992,2023,1992,2020,1992,2023,1996,2007
DEERWOOD RCS,MANITOBA,5020725,29886,71840,XDW,49.4,-98.32,492359400,-981909300,341.4,2000,2023,2000,2020,2000,2023,2000,2007
EMERSON AUTO,MANITOBA,5020881,48068,71560,WEX,49,-97.24,490000000,-971415000,242,2009,2023,2009,2020,2009,2023,NA,NA
EMERSON AUT,MANITOBA,5020882,26963,71560,WEX,49,-97.24,490000000,-971415000,242,1996,2009,1996,2009,1997,2009,1997,2007
GRETNA (AUT),MANITOBA,5021220,3605,71441,WGN,49.03,-97.56,490151004,-973336003,252.6,1885,2023,1980,2020,1885,2023,1885,2007
KLEEFELD (MAFRI),MANITOBA,5021500,50897,71646,PTG,49.52,-96.9,493104000,-965404000,246.5,2012,2023,2012,2020,2014,2023,NA,NA
MORDEN CDA CS,MANITOBA,5021849,29593,71564,XMD,49.19,-98.08,491115500,-980502200,297.5,1999,2023,1999,2020,1999,2023,1999,2007
PILOT MOUND (AUT),MANITOBA,5022125,3649,71148,WPO,49.19,-98.9,491127700,-985417500,470.3,1957,2023,1980,2020,1957,2023,1957,2007
ST ANDREWS A,MANITOBA,50225DP,3659,NA,,50.05,-97.03,500300000,-970200000,231.65,1976,1985,1980,1985,1976,1985,1976,1985
SPRAGUE,MANITOBA,5022759,10196,71449,WSU,49.02,-95.6,490125000,-953554009,328.8,1992,2023,1992,2020,1992,2023,1996,2007
WINNIPEG RICHARDSON INT'L A,MANITOBA,5023222,3698,71852,YWG,49.92,-97.23,495500000,-971400000,238.7,1938,2013,1980,2013,1938,2008,1938,2007
WINNIPEG RICHARDSON AWOS,MANITOBA,5023226,47407,71852,YWG,49.92,-97.23,495500000,-971400000,238.7,2008,2013,2008,2013,2008,2013,NA,NA
WINNIPEG INTL A,MANITOBA,5023227,51097,NA,YWG,49.91,-97.24,495436000,-971424000,238.7,2013,2023,2013,2020,2018,2023,NA,NA
WINNIPEG THE FORKS,MANITOBA,5023262,28051,71579,XWN,49.89,-97.13,495318008,-970746007,230,1999,2023,1999,2020,1999,2023,1999,2007
CARMAN U OF M CS,MANITOBA,502I001,26857,71147,WNK,49.5,-98.03,492953200,-980147100,268.2,1995,2023,1995,2020,1995,2023,1996,2007
WINNIPEG A CS,MANITOBA,502S001,27174,71849,XWG,49.92,-97.25,495500000,-971458000,238.7,1996,2023,1996,2020,1996,2023,1996,2007
ARNES,MANITOBA,5030109,10206,NA,WRE,50.8,-96.95,504800000,-965700000,221.1,1994,2000,1994,2000,NA,NA,NA,NA
BEAUSEJOUR,MANITOBA,5030155,3718,NA,,50.13,-96.22,500800000,-961300000,302.4,1959,1985,1980,1985,1960,1979,1960,1979
BERENS RIVER A,MANITOBA,5030201,53321,NA,YBV,52.36,-97.02,522132000,-970105000,222.2,2015,2023,2015,2020,NA,NA,NA,NA
BERENS RIVER A,MANITOBA,5030202,26964,NA,YBV,52.36,-97.02,522132000,-970106000,222.19,1995,2015,1995,2015,NA,NA,NA,NA
BERENS RIVER CS,MANITOBA,5030203,3721,71158,WCF,52.36,-97.02,522135052,-970119032,221.9,1985,2023,1985,2020,1985,2023,1985,2007
BERENS RIVER A,MANITOBA,5030204,53318,NA,YBV,52.36,-97.02,522132000,-970105000,222.2,2015,2023,2015,2020,2018,2023,NA,NA
BISSETT,MANITOBA,5030282,3723,NA,,51.03,-95.7,510200000,-954200000,259,1968,1997,1980,1997,1968,1997,1968,1997
GEORGE ISLAND (AUT),MANITOBA,5030984,7333,71445,WWS,52.82,-97.62,524907014,-973659028,222.5,1994,2023,1994,2020,1994,2023,1998,2007
FISHER BRANCH (AUT),MANITOBA,50309J6,8993,71442,WSZ,51.08,-97.55,510500100,-973316200,253,1992,2023,1992,2020,1992,2023,1999,2007
GIMLI,MANITOBA,5031038,3736,NA,,50.63,-97.02,503800000,-970100000,222.8,1972,1991,1980,1991,1972,1991,1972,1991
GIMLI HARBOUR CS,MANITOBA,5031041,27867,71577,XGH,50.63,-96.98,503752000,-965856000,217.02,1999,2023,1999,2020,1999,2023,2006,2006
GIMLI CLIMATE,MANITOBA,5031042,45007,71748,PGH,50.63,-97.05,503800000,-970300000,230.1,2006,2023,2006,2020,2006,2023,2007,2007
GIMLI INDUSTRIAL PARK,MANITOBA,50310D0,10728,NA,YGM,50.63,-97.05,503800000,-970300000,230.1,1992,2010,1992,2010,1992,2010,1996,2007
GREAT FALLS CLIMATE,MANITOBA,5031201,43243,71570,PGF,50.52,-95.98,503120001,-955838000,253,2005,2023,2005,2020,2005,2023,2005,2007
HECLA ISLAND (AUT),MANITOBA,5031288,7291,NA,,51.17,-96.63,511000000,-963800000,230,1977,1985,1980,1985,NA,NA,NA,NA
GRAND RAPIDS (AUT),MANITOBA,5031A10,7290,71858,WJD,53.19,-99.27,531111064,-991604098,222.5,1992,2023,1992,2020,1992,2023,1999,2007
VICTORIA BEACH (AUT),MANITOBA,5032951,9035,71552,WII,50.7,-96.57,504200000,-963400000,220.1,1996,2023,1996,2020,1996,2023,1996,2006
PINAWA,MANITOBA,503B1ER,10186,71448,WEA,50.18,-96.06,501038020,-960353000,268,1992,2023,1992,2020,1992,2023,1996,2007
